iter	Logloss
0	0.5438294883
1	0.4291055174
2	0.3535684336
3	0.2957751161
4	0.2510263867
5	0.2162280092
6	0.1852137415
7	0.1640239792
8	0.1486816228
9	0.1292772616
10	0.1168703506
11	0.1019623111
12	0.09396563963
13	0.08808403406
14	0.08008134988
15	0.07570515392
16	0.06923044037
17	0.06428656766
18	0.05961059549
19	0.05627625369
20	0.05277677324
21	0.05006495508
22	0.0470662036
23	0.04450471763
24	0.04160177468
25	0.04000851329
26	0.03799403715
27	0.03650058157
28	0.03508309855
29	0.03324441111
30	0.03194344043
31	0.03018005399
32	0.02866661818
33	0.02816045852
34	0.02736605051
35	0.02608766185
36	0.02508706022
37	0.02443558483
38	0.02385500393
39	0.02272269906
40	0.02175613281
41	0.0208746907
42	0.02011611769
43	0.01947660219
44	0.01874983626
45	0.0182580826
46	0.01777712905
47	0.01732260069
48	0.01682855273
49	0.0162184498
50	0.01573153589
51	0.01552708592
52	0.01479532948
53	0.01436443238
54	0.01408729355
55	0.01346551055
56	0.01330070055
57	0.01303418788
58	0.01277389836
59	0.01242868851
60	0.01236331883
61	0.01209096093
62	0.0115796091
63	0.01152492463
64	0.01149278549
65	0.01116263372
66	0.01105020369
67	0.0109482705
68	0.01066267339
69	0.01028951158
70	0.01015148608
71	0.01010328202
72	0.009861735725
73	0.009561088459
74	0.009212148941
75	0.009064386138
76	0.008763879306
77	0.008749361448
78	0.008542364785
79	0.008334554492
80	0.008321110745
81	0.008148397364
82	0.00814018045
83	0.008122481871
84	0.007985646695
85	0.007767557682
86	0.007542637721
87	0.007539538524
88	0.007539453636
89	0.007533150824
90	0.007524571947
91	0.00751524394
92	0.00750808245
93	0.007497311636
94	0.007359569443
95	0.007349045512
96	0.00734115615
97	0.007335386337
98	0.007325278999
99	0.007321394896
